Marca,Modelo,Ano,Combustível,Quilometragem,Cidade,Problema,Custo Estimado
FIAT,MOBI,2011,Gasolina,198033,Salvador,cambio,4862.74
FIAT,MOBI,2001,Diesel,57175,Belo Horizonte,transmissao,932.62
CHEVROLET,ONIX,2009,Etanol,101551,Curitiba,bateria,1087.53
HONDA,CIVIC,2003,Gasolina,281120,Belo Horizonte,cambio,6900.8
FORD,FIESTA,2013,Etanol,246984,Salvador,pastilhas_de_freio,319.07
VOLKSWAGEN,POLO,2015,Etanol,56866,Manaus,superaquecimento_motor,1063.16
VOLKSWAGEN,JETTA,2014,Etanol,117752,São Paulo,pastilhas_de_freio,236.73
HONDA,CIVIC,2007,Etanol,253564,Salvador,bateria,1576.12
FIAT,MOBI,2013,Gasolina,293257,Manaus,transmissao,1153.56
VOLKSWAGEN,POLO,2022,Gasolina,246592,Curitiba,cambio,3750.23
FORD,KA,2007,Gasolina,15401,Salvador,cambio,3412.46
FIAT,TORO,2020,Etanol,215432,Belo Horizonte,cambio,3808.47
VOLKSWAGEN,JETTA,2015,Etanol,165486,Rio de Janeiro,alinhamento,213.35
HONDA,FIT,2012,Etanol,147214,Belo Horizonte,superaquecimento_motor,1453.45
FIAT,MOBI,2017,Gasolina,246200,Curitiba,alinhamento,235.17
CHEVROLET,ONIX,2014,Etanol,210536,São Paulo,velas_de_ignicao,156.71
VOLKSWAGEN,JETTA,2020,Diesel,206329,Salvador,superaquecimento_motor,1279.89
FORD,FIESTA,2023,Etanol,76693,São Paulo,pastilhas_de_freio,156.96
CHEVROLET,SPIN,2012,Diesel,35135,Curitiba,alinhamento,167.57
VOLKSWAGEN,POLO,2008,Etanol,290006,Salvador,bateria,1638.91
FORD,FIESTA,2014,Gasolina,136262,Manaus,velas_de_ignicao,133.91
HONDA,CIVIC,2012,Etanol,70199,Manaus,superaquecimento_motor,1203.15
CHEVROLET,ONIX,2000,Diesel,4331,Belo Horizonte,cambio,3854.86
HONDA,CIVIC,2006,Diesel,183258,Belo Horizonte,bateria,1409.5
CHEVROLET,SPIN,2008,Etanol,290693,Curitiba,velas_de_ignicao,213.31
FIAT,TORO,2023,Diesel,212854,Manaus,pastilhas_de_freio,213.69
CHEVROLET,SPIN,2000,Diesel,25761,Salvador,cambio,4126.31
FIAT,TORO,2011,Gasolina,265406,Manaus,bateria,1452.78
FORD,KA,2007,Etanol,255792,Belo Horizonte,superaquecimento_motor,2057.2
HONDA,CIVIC,2023,Etanol,184544,Curitiba,velas_de_ignicao,109.36
FORD,KA,2010,Etanol,84667,Manaus,transmissao,812.07
FIAT,TORO,2018,Diesel,4677,Curitiba,superaquecimento_motor,825.17
CHEVROLET,SPIN,2016,Etanol,204580,Manaus,superaquecimento_motor,1457.68
CHEVROLET,ONIX,2007,Etanol,130334,São Paulo,cambio,4655.97
HONDA,FIT,2002,Gasolina,60148,Manaus,superaquecimento_motor,1495.61
CHEVROLET,SPIN,2002,Gasolina,75271,Belo Horizonte,cambio,4555.37
CHEVROLET,ONIX,2000,Gasolina,34457,Salvador,superaquecimento_motor,1449.31
VOLKSWAGEN,JETTA,2004,Diesel,42531,Belo Horizonte,transmissao,837.3
CHEVROLET,ONIX,2009,Etanol,204335,Belo Horizonte,bateria,1365.91
FIAT,MOBI,2006,Gasolina,128027,Belo Horizonte,bateria,1248.41
FORD,FIESTA,2008,Gasolina,194243,Curitiba,bateria,1372.9
FIAT,TORO,2006,Gasolina,257231,Rio de Janeiro,pastilhas_de_freio,390.06
CHEVROLET,ONIX,2008,Etanol,249301,Rio de Janeiro,transmissao,1220.67
HONDA,CIVIC,2007,Etanol,45771,São Paulo,transmissao,787.59
FORD,KA,2011,Etanol,93135,Belo Horizonte,velas_de_ignicao,131.32
FIAT,TORO,2001,Diesel,66354,Rio de Janeiro,alinhamento,239.15
FIAT,MOBI,2000,Diesel,112743,São Paulo,bateria,1375.81
VOLKSWAGEN,JETTA,2015,Gasolina,244453,Curitiba,alinhamento,249.54
FIAT,MOBI,2022,Etanol,33892,Belo Horizonte,velas_de_ignicao,78.37
CHEVROLET,ONIX,2022,Gasolina,202268,Salvador,transmissao,725.5
VOLKSWAGEN,POLO,2023,Etanol,95057,Curitiba,velas_de_ignicao,89.16
VOLKSWAGEN,POLO,2004,Etanol,38409,São Paulo,superaquecimento_motor,1344.24
FORD,KA,2002,Etanol,246889,Curitiba,velas_de_ignicao,227.11
CHEVROLET,SPIN,2011,Diesel,149457,Salvador,velas_de_ignicao,150.13
FORD,FIESTA,2007,Diesel,26382,Curitiba,cambio,3531.27
FORD,KA,2021,Etanol,76675,São Paulo,superaquecimento_motor,918.15
VOLKSWAGEN,JETTA,2002,Gasolina,22419,Salvador,cambio,3913.81
CHEVROLET,SPIN,2000,Etanol,81238,Salvador,alinhamento,254.16
VOLKSWAGEN,POLO,2002,Etanol,225825,Curitiba,superaquecimento_motor,2183.63
FIAT,TORO,2004,Gasolina,170363,Salvador,pastilhas_de_freio,344.93
FORD,FIESTA,2014,Etanol,274541,Curitiba,velas_de_ignicao,176.35
FIAT,TORO,2013,Gasolina,35169,Belo Horizonte,velas_de_ignicao,105.9
HONDA,FIT,2002,Diesel,62182,Salvador,cambio,4396.49
FORD,KA,2000,Diesel,159413,Curitiba,alinhamento,306.28
FIAT,MOBI,2004,Gasolina,177216,Belo Horizonte,cambio,5541.01
CHEVROLET,ONIX,2022,Diesel,79360,Salvador,transmissao,547.96
VOLKSWAGEN,POLO,2013,Diesel,13444,Belo Horizonte,superaquecimento_motor,990.4
FORD,KA,2006,Gasolina,123662,Manaus,transmissao,988.54
VOLKSWAGEN,JETTA,2008,Diesel,245488,Salvador,pastilhas_de_freio,363.66
FORD,KA,2014,Etanol,98843,Manaus,superaquecimento_motor,1224.23
HONDA,CIVIC,2014,Etanol,273118,São Paulo,pastilhas_de_freio,324.77
HONDA,CIVIC,2009,Gasolina,112150,São Paulo,pastilhas_de_freio,267.9
VOLKSWAGEN,JETTA,2012,Diesel,256620,Curitiba,pastilhas_de_freio,333.97
HONDA,CIVIC,2018,Etanol,94826,Rio de Janeiro,bateria,822.55
HONDA,FIT,2006,Etanol,225121,Manaus,superaquecimento_motor,1991.08
CHEVROLET,ONIX,2016,Diesel,298634,Manaus,superaquecimento_motor,1729.39
FORD,FIESTA,2019,Diesel,241435,São Paulo,bateria,1090.39
FIAT,MOBI,2003,Etanol,124713,Manaus,alinhamento,265.45
CHEVROLET,ONIX,2004,Etanol,55612,Rio de Janeiro,bateria,1086.59
HONDA,FIT,2022,Gasolina,100474,Belo Horizonte,velas_de_ignicao,94.0
HONDA,CIVIC,2006,Gasolina,298303,Belo Horizonte,transmissao,1396.04
FIAT,MOBI,2012,Etanol,39710,Rio de Janeiro,transmissao,679.42
VOLKSWAGEN,JETTA,2014,Gasolina,113096,Manaus,pastilhas_de_freio,234.09
HONDA,FIT,2010,Etanol,209417,Manaus,superaquecimento_motor,1747.58
FORD,FIESTA,2003,Etanol,211463,Manaus,superaquecimento_motor,2077.82
FIAT,MOBI,2012,Gasolina,94924,Curitiba,pastilhas_de_freio,236.95
FIAT,MOBI,2006,Gasolina,268602,Salvador,velas_de_ignicao,215.59
FORD,FIESTA,2018,Diesel,297668,Rio de Janeiro,transmissao,996.11
FIAT,MOBI,2021,Diesel,137925,Rio de Janeiro,bateria,821.11
CHEVROLET,ONIX,2001,Diesel,294366,Rio de Janeiro,alinhamento,387.99
HONDA,FIT,2009,Etanol,18320,Rio de Janeiro,cambio,3276.04
CHEVROLET,ONIX,2012,Gasolina,94154,Rio de Janeiro,velas_de_ignicao,128.1
FORD,KA,2020,Etanol,52243,Manaus,superaquecimento_motor,890.39
CHEVROLET,SPIN,2005,Gasolina,176687,Curitiba,cambio,5409.07
VOLKSWAGEN,JETTA,2011,Etanol,72833,São Paulo,pastilhas_de_freio,229.91
HONDA,CIVIC,2011,Diesel,93476,Manaus,transmissao,808.81
VOLKSWAGEN,POLO,2019,Diesel,114560,Manaus,cambio,3172.54
FORD,KA,2010,Diesel,37941,Salvador,pastilhas_de_freio,214.03
CHEVROLET,ONIX,2022,Etanol,25368,São Paulo,superaquecimento_motor,763.71
HONDA,CIVIC,2006,Gasolina,293128,Rio de Janeiro,pastilhas_de_freio,415.19
VOLKSWAGEN,JETTA,2000,Gasolina,203990,São Paulo,bateria,1679.97
VOLKSWAGEN,JETTA,2000,Diesel,257481,Curitiba,cambio,7061.43
HONDA,CIVIC,2019,Diesel,801,Belo Horizonte,cambio,2301.96
VOLKSWAGEN,JETTA,2012,Diesel,106538,Manaus,transmissao,813.08
HONDA,FIT,2008,Diesel,85269,São Paulo,pastilhas_de_freio,256.85
CHEVROLET,ONIX,2002,Gasolina,253765,Salvador,transmissao,1415.18
FIAT,TORO,2006,Etanol,298113,Curitiba,cambio,6629.09
CHEVROLET,SPIN,2005,Etanol,91679,Belo Horizonte,pastilhas_de_freio,280.7
FIAT,TORO,2007,Etanol,156777,Curitiba,pastilhas_de_freio,312.13
CHEVROLET,ONIX,2008,Etanol,191375,Rio de Janeiro,transmissao,1091.94
VOLKSWAGEN,JETTA,2004,Diesel,290507,Belo Horizonte,bateria,1804.33
FIAT,TORO,2000,Diesel,161792,Salvador,pastilhas_de_freio,369.43
FORD,KA,2018,Diesel,33351,Belo Horizonte,bateria,694.48
CHEVROLET,ONIX,2009,Etanol,111023,Salvador,velas_de_ignicao,144.71
FIAT,TORO,2011,Diesel,167217,Rio de Janeiro,alinhamento,240.1
VOLKSWAGEN,POLO,2023,Diesel,87948,Salvador,velas_de_ignicao,87.56
HONDA,FIT,2014,Gasolina,220686,Curitiba,alinhamento,245.88
CHEVROLET,SPIN,2021,Gasolina,219188,São Paulo,velas_de_ignicao,126.55
VOLKSWAGEN,JETTA,2023,Diesel,276999,Curitiba,alinhamento,200.35
CHEVROLET,SPIN,2008,Gasolina,261677,Manaus,pastilhas_de_freio,374.45
VOLKSWAGEN,JETTA,2019,Gasolina,177476,Curitiba,transmissao,769.27
HONDA,CIVIC,2016,Diesel,150641,Belo Horizonte,transmissao,801.14
FIAT,MOBI,2016,Diesel,125074,Rio de Janeiro,superaquecimento_motor,1227.99
FIAT,TORO,2019,Diesel,260078,Manaus,alinhamento,225.59
FORD,KA,2011,Diesel,54437,Manaus,superaquecimento_motor,1183.92
FORD,FIESTA,2006,Etanol,156810,Manaus,bateria,1332.36
CHEVROLET,SPIN,2001,Etanol,90410,São Paulo,bateria,1274.25
HONDA,CIVIC,2002,Diesel,19731,Salvador,superaquecimento_motor,1327.77
CHEVROLET,SPIN,2016,Gasolina,141203,Belo Horizonte,alinhamento,196.09
FORD,FIESTA,2004,Diesel,185169,Rio de Janeiro,transmissao,1185.97
FORD,FIESTA,2016,Diesel,265033,São Paulo,alinhamento,251.13
VOLKSWAGEN,JETTA,2023,Gasolina,9569,Curitiba,bateria,537.45
VOLKSWAGEN,JETTA,2016,Etanol,206749,Rio de Janeiro,pastilhas_de_freio,270.27
VOLKSWAGEN,JETTA,2016,Diesel,85192,Manaus,superaquecimento_motor,1112.78
FORD,KA,2001,Diesel,254829,Rio de Janeiro,superaquecimento_motor,2354.17
FIAT,TORO,2001,Etanol,87154,Rio de Janeiro,bateria,1263.63
VOLKSWAGEN,JETTA,2021,Etanol,208542,Curitiba,alinhamento,190.7
HONDA,FIT,2022,Gasolina,108073,Salvador,superaquecimento_motor,957.84
FORD,KA,2004,Etanol,219894,Belo Horizonte,transmissao,1270.85
FIAT,TORO,2000,Etanol,269756,Manaus,superaquecimento_motor,2468.94
FIAT,MOBI,2000,Etanol,51644,Salvador,alinhamento,234.43
VOLKSWAGEN,JETTA,2018,Gasolina,32069,São Paulo,bateria,691.81
FIAT,MOBI,2001,Etanol,145006,Manaus,transmissao,1161.96
FIAT,TORO,2020,Etanol,18706,Belo Horizonte,transmissao,495.76
FIAT,TORO,2011,Gasolina,174588,São Paulo,superaquecimento_motor,1585.26
CHEVROLET,ONIX,2005,Etanol,103602,Curitiba,alinhamento,241.04
VOLKSWAGEN,POLO,2022,Etanol,296773,Salvador,superaquecimento_motor,1400.76
FIAT,MOBI,2003,Gasolina,124746,Manaus,cambio,5043.86
HONDA,CIVIC,2022,Diesel,20431,Rio de Janeiro,pastilhas_de_freio,138.85
VOLKSWAGEN,POLO,2010,Gasolina,187805,Belo Horizonte,bateria,1287.26
CHEVROLET,ONIX,2023,Etanol,40088,Manaus,cambio,2243.64
VOLKSWAGEN,POLO,2016,Etanol,175207,Rio de Janeiro,pastilhas_de_freio,253.44
VOLKSWAGEN,JETTA,2005,Etanol,231110,Manaus,transmissao,1268.76
CHEVROLET,SPIN,2023,Gasolina,31385,São Paulo,superaquecimento_motor,747.92
HONDA,FIT,2004,Etanol,118104,Rio de Janeiro,pastilhas_de_freio,306.61
HONDA,CIVIC,2019,Etanol,12818,Rio de Janeiro,velas_de_ignicao,81.9
FORD,FIESTA,2001,Gasolina,155049,Manaus,pastilhas_de_freio,356.46
HONDA,CIVIC,2005,Diesel,49832,Curitiba,superaquecimento_motor,1358.03
CHEVROLET,ONIX,2021,Diesel,83990,Curitiba,superaquecimento_motor,935.98
FORD,FIESTA,2010,Etanol,209966,Salvador,bateria,1345.74
HONDA,CIVIC,2015,Gasolina,72204,São Paulo,pastilhas_de_freio,204.71
CHEVROLET,ONIX,2015,Etanol,45784,Curitiba,superaquecimento_motor,1030.15
VOLKSWAGEN,POLO,2000,Gasolina,9921,Manaus,superaquecimento_motor,1342.99
HONDA,CIVIC,2008,Gasolina,297103,Curitiba,cambio,6302.75
FORD,KA,2005,Diesel,294472,Salvador,bateria,1775.16
FIAT,MOBI,2015,Diesel,255564,Belo Horizonte,cambio,4838.04
CHEVROLET,SPIN,2002,Gasolina,89506,Salvador,bateria,1244.26
VOLKSWAGEN,POLO,2019,Etanol,74408,Rio de Janeiro,bateria,754.02
HONDA,FIT,2003,Diesel,123852,Rio de Janeiro,cambio,5033.24
CHEVROLET,SPIN,2018,Etanol,215838,Curitiba,bateria,1074.66
FIAT,MOBI,2002,Diesel,26708,Curitiba,velas_de_ignicao,135.67
HONDA,CIVIC,2018,Diesel,18847,Salvador,transmissao,531.41
FIAT,MOBI,2019,Etanol,55989,Salvador,superaquecimento_motor,932.0
FORD,KA,2006,Diesel,4922,Manaus,alinhamento,177.87
FIAT,TORO,2019,Diesel,52335,São Paulo,bateria,709.56
HONDA,CIVIC,2008,Etanol,281695,Manaus,transmissao,1292.66
FORD,KA,2000,Diesel,150453,Rio de Janeiro,bateria,1501.51
CHEVROLET,ONIX,2007,Diesel,22948,Manaus,transmissao,735.6
VOLKSWAGEN,POLO,2006,Diesel,92264,Salvador,alinhamento,228.82
VOLKSWAGEN,POLO,2017,Etanol,59072,Manaus,pastilhas_de_freio,185.52
CHEVROLET,SPIN,2007,Gasolina,213321,Belo Horizonte,velas_de_ignicao,190.0
CHEVROLET,ONIX,2000,Etanol,133558,São Paulo,superaquecimento_motor,1878.75
FIAT,TORO,2010,Gasolina,66691,Salvador,pastilhas_de_freio,232.24
VOLKSWAGEN,POLO,2017,Diesel,141154,Curitiba,cambio,3608.88
VOLKSWAGEN,JETTA,2022,Gasolina,7086,Manaus,alinhamento,110.89
CHEVROLET,SPIN,2009,Etanol,67853,Salvador,velas_de_ignicao,129.51
FIAT,MOBI,2002,Etanol,278060,Curitiba,velas_de_ignicao,240.06
VOLKSWAGEN,JETTA,2006,Diesel,277392,Curitiba,velas_de_ignicao,218.93
HONDA,FIT,2015,Gasolina,286370,Rio de Janeiro,alinhamento,268.75
VOLKSWAGEN,POLO,2015,Diesel,238922,Rio de Janeiro,bateria,1235.03
CHEVROLET,SPIN,2019,Diesel,48380,Salvador,bateria,701.6
FIAT,TORO,2016,Etanol,269992,Salvador,cambio,4813.27
FORD,KA,2001,Gasolina,14274,Belo Horizonte,bateria,1025.76
FORD,FIESTA,2000,Gasolina,260115,São Paulo,pastilhas_de_freio,448.09
VOLKSWAGEN,JETTA,2015,Gasolina,96494,São Paulo,superaquecimento_motor,1181.22
VOLKSWAGEN,JETTA,2011,Gasolina,115981,Salvador,velas_de_ignicao,138.95
FORD,KA,2004,Diesel,166305,Rio de Janeiro,cambio,5414.32
VOLKSWAGEN,JETTA,2004,Diesel,16304,Manaus,cambio,3672.64
VOLKSWAGEN,POLO,2022,Etanol,273438,Belo Horizonte,velas_de_ignicao,134.6
FORD,FIESTA,2008,Diesel,288569,São Paulo,pastilhas_de_freio,392.38
FORD,FIESTA,2008,Diesel,199783,Salvador,bateria,1388.29
FORD,FIESTA,2002,Etanol,110777,Rio de Janeiro,velas_de_ignicao,170.59
FIAT,TORO,2018,Etanol,91549,Rio de Janeiro,velas_de_ignicao,106.04
FIAT,MOBI,2015,Etanol,93464,Rio de Janeiro,alinhamento,180.34
HONDA,CIVIC,2015,Diesel,106748,Manaus,transmissao,745.7
FIAT,TORO,2002,Diesel,278235,Curitiba,cambio,7019.13
FORD,KA,2019,Etanol,254174,Manaus,pastilhas_de_freio,267.85
FORD,KA,2023,Etanol,131074,Rio de Janeiro,pastilhas_de_freio,179.61
VOLKSWAGEN,JETTA,2021,Etanol,253890,Salvador,bateria,1038.54
HONDA,FIT,2023,Diesel,50411,Belo Horizonte,pastilhas_de_freio,146.0
FORD,FIESTA,2000,Diesel,258901,Manaus,bateria,1863.0
HONDA,CIVIC,2023,Gasolina,95696,Salvador,alinhamento,137.39
FIAT,TORO,2019,Diesel,151779,Rio de Janeiro,alinhamento,181.97
HONDA,FIT,2010,Diesel,146320,Belo Horizonte,superaquecimento_motor,1531.13
FORD,KA,2016,Diesel,71309,São Paulo,bateria,825.13
HONDA,FIT,2007,Etanol,209394,São Paulo,cambio,5511.36
FORD,FIESTA,2003,Diesel,146109,Salvador,alinhamento,278.82
FIAT,MOBI,2005,Etanol,67421,Belo Horizonte,bateria,1097.16
CHEVROLET,SPIN,2007,Gasolina,236436,Salvador,cambio,5803.94
CHEVROLET,SPIN,2019,Gasolina,13450,Belo Horizonte,cambio,2398.76
FIAT,MOBI,2002,Etanol,9491,Belo Horizonte,pastilhas_de_freio,237.28
CHEVROLET,ONIX,2015,Etanol,117026,Salvador,superaquecimento_motor,1242.39
CHEVROLET,SPIN,2002,Etanol,74804,Belo Horizonte,transmissao,957.83
CHEVROLET,ONIX,2017,Diesel,119498,Manaus,velas_de_ignicao,117.4
FIAT,TORO,2013,Gasolina,238515,Rio de Janeiro,velas_de_ignicao,170.16
CHEVROLET,ONIX,2017,Etanol,290458,Belo Horizonte,superaquecimento_motor,1652.46
HONDA,FIT,2001,Diesel,196701,Manaus,bateria,1621.18
VOLKSWAGEN,POLO,2021,Gasolina,242223,Belo Horizonte,bateria,1016.67
CHEVROLET,ONIX,2002,Diesel,9967,Manaus,bateria,990.17
FORD,KA,2015,Gasolina,212826,Salvador,transmissao,940.18
HONDA,FIT,2008,Diesel,205235,São Paulo,cambio,5333.04
CHEVROLET,ONIX,2003,Gasolina,170491,Curitiba,velas_de_ignicao,191.14
VOLKSWAGEN,POLO,2000,Gasolina,28876,Belo Horizonte,superaquecimento_motor,1425.13
HONDA,CIVIC,2003,Diesel,219516,Curitiba,bateria,1623.49
HONDA,CIVIC,2000,Etanol,151043,Belo Horizonte,alinhamento,300.7
VOLKSWAGEN,POLO,2013,Gasolina,229192,Salvador,pastilhas_de_freio,308.7
CHEVROLET,ONIX,2020,Etanol,254767,Salvador,transmissao,862.97
FIAT,TORO,2015,Diesel,252313,Manaus,bateria,1265.72
CHEVROLET,ONIX,2019,Etanol,28261,Belo Horizonte,velas_de_ignicao,85.94
HONDA,CIVIC,2023,Etanol,106601,Salvador,pastilhas_de_freio,169.42
FIAT,MOBI,2007,Etanol,61260,Salvador,superaquecimento_motor,1337.16
VOLKSWAGEN,JETTA,2006,Etanol,56176,Belo Horizonte,bateria,1038.85
HONDA,CIVIC,2002,Etanol,142412,Manaus,velas_de_ignicao,183.72
VOLKSWAGEN,JETTA,2016,Gasolina,295156,Manaus,pastilhas_de_freio,317.42
FIAT,MOBI,2000,Gasolina,166465,Manaus,alinhamento,310.98
FIAT,TORO,2015,Gasolina,102153,Manaus,transmissao,737.28
VOLKSWAGEN,POLO,2011,Diesel,148348,São Paulo,superaquecimento_motor,1497.61
VOLKSWAGEN,POLO,2018,Etanol,7310,Belo Horizonte,velas_de_ignicao,83.23
VOLKSWAGEN,POLO,2021,Gasolina,166239,São Paulo,cambio,3321.95
FORD,FIESTA,2022,Diesel,141463,Salvador,alinhamento,159.42
FORD,KA,2021,Gasolina,122013,São Paulo,transmissao,633.02
FORD,KA,2013,Gasolina,181693,Manaus,transmissao,936.63
HONDA,CIVIC,2005,Etanol,141964,Salvador,cambio,5015.06
FORD,KA,2005,Diesel,209658,São Paulo,alinhamento,304.38
FORD,KA,2012,Etanol,172687,São Paulo,velas_de_ignicao,153.62
VOLKSWAGEN,POLO,2018,Etanol,178625,Belo Horizonte,transmissao,797.71
CHEVROLET,SPIN,2021,Gasolina,109264,São Paulo,superaquecimento_motor,997.58
VOLKSWAGEN,POLO,2007,Etanol,79071,Salvador,pastilhas_de_freio,259.03
FORD,FIESTA,2001,Diesel,172074,Manaus,superaquecimento_motor,2003.04
HONDA,FIT,2020,Etanol,70658,Belo Horizonte,bateria,720.72
CHEVROLET,SPIN,2000,Etanol,9852,São Paulo,transmissao,826.27
VOLKSWAGEN,JETTA,2014,Etanol,267531,Belo Horizonte,pastilhas_de_freio,321.6
HONDA,CIVIC,2000,Gasolina,130381,Curitiba,alinhamento,286.92
CHEVROLET,ONIX,2004,Diesel,234484,Belo Horizonte,pastilhas_de_freio,391.95
HONDA,CIVIC,2015,Gasolina,203754,Manaus,pastilhas_de_freio,277.06
FIAT,MOBI,2018,Gasolina,131632,Curitiba,cambio,3417.09
